id,time,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,weathercode,weather_description
155,2025-04-20,20.0,27.7,316,2.2,-9.3,-2.3,-15.4,3,Overcast
155,2025-04-21,37.7,62.6,245,6.3,-2.0,1.6,-9.6,3,Overcast
155,2025-04-22,25.0,38.2,247,9.6,-0.2,6.2,-7.0,3,Overcast
155,2025-04-23,24.8,36.7,215,10.8,0.0,5.6,-4.7,51,Drizzle: Light intensity
155,2025-04-24,14.1,33.8,246,10.8,-1.7,7.8,-5.4,3,Overcast
155,2025-04-25,14.5,20.5,167,10.1,0.6,6.5,-3.4,55,Drizzle: Dense intensity
155,2025-04-26,24.3,48.2,195,9.7,-1.6,6.3,-6.2,53,Drizzle: Moderate intensity
165,2025-04-20,25.9,37.4,240,5.0,-1.5,0.3,-6.9,3,Overcast
165,2025-04-21,27.5,42.5,254,4.9,-0.6,0.7,-5.5,3,Overcast
165,2025-04-22,21.8,39.2,290,8.7,-2.4,4.8,-6.7,3,Overcast
165,2025-04-23,20.7,38.5,278,7.7,0.4,3.4,-2.9,51,Drizzle: Light intensity
165,2025-04-24,19.5,32.0,351,10.5,-1.1,8.3,-5.1,3,Overcast
165,2025-04-25,16.8,32.8,96,10.1,1.2,6.9,-3.2,3,Overcast
165,2025-04-26,41.9,57.6,168,9.8,1.5,4.8,-4.0,85,Snow showers: Slight
166,2025-04-20,29.9,38.5,293,4.9,-6.1,0.1,-10.6,3,Overcast
166,2025-04-21,30.9,43.6,259,11.6,-2.6,5.5,-8.3,3,Overcast
166,2025-04-22,26.8,36.7,288,11.1,-0.6,5.8,-6.1,85,Snow showers: Slight
166,2025-04-23,24.1,38.5,207,9.3,-1.0,5.4,-5.4,85,Snow showers: Slight
166,2025-04-24,22.9,35.3,252,9.6,-1.1,6.7,-4.1,85,Snow showers: Slight
166,2025-04-25,22.4,29.2,155,7.7,-1.2,4.2,-5.2,85,Snow showers: Slight
166,2025-04-26,22.9,45.4,175,8.1,-1.8,5.2,-6.8,73,Snow fall: Moderate intensity
168,2025-04-20,48.7,79.6,275,14.2,-1.8,9.2,-8.7,65,Rain: Heavy intensity
168,2025-04-21,27.7,52.9,314,10.1,-0.8,6.0,-7.1,61,Rain: Slight intensity
168,2025-04-22,36.9,61.6,216,8.8,3.4,3.5,-2.8,63,Rain: Moderate intensity
168,2025-04-23,19.9,42.5,282,9.0,-2.6,6.9,-6.1,3,Overcast
168,2025-04-24,11.7,18.7,290,13.2,-0.7,11.7,-3.4,3,Overcast
168,2025-04-25,16.9,40.3,122,12.0,1.5,9.2,-1.6,51,Drizzle: Light intensity
168,2025-04-26,25.8,54.4,219,10.1,3.4,6.4,-1.6,55,Drizzle: Dense intensity
169,2025-04-20,24.5,38.5,307,2.6,-8.7,-1.9,-13.2,71,Snow fall: Slight intensity
169,2025-04-21,34.8,60.5,246,9.4,-4.2,2.7,-9.6,3,Overcast
169,2025-04-22,29.4,48.2,221,9.6,-1.9,4.1,-7.6,85,Snow showers: Slight
169,2025-04-23,19.4,36.7,219,8.8,-2.2,4.7,-5.9,3,Overcast
169,2025-04-24,16.1,30.2,260,8.7,-2.0,6.9,-5.3,85,Snow showers: Slight
169,2025-04-25,14.8,31.0,149,6.6,-1.9,4.4,-5.6,73,Snow fall: Moderate intensity
169,2025-04-26,20.7,33.8,180,8.1,-4.2,5.1,-8.6,73,Snow fall: Moderate intensity
177,2025-04-20,45.4,81.0,281,15.3,-0.3,12.6,-9.1,53,Drizzle: Moderate intensity
177,2025-04-21,36.1,75.6,278,10.6,-0.8,8.8,-7.5,3,Overcast
177,2025-04-22,30.3,57.2,160,7.9,2.6,5.6,-3.6,61,Rain: Slight intensity
177,2025-04-23,15.6,36.0,289,5.3,1.9,1.8,-2.2,45,Fog and depositing rime fog
177,2025-04-24,15.8,24.1,293,10.8,3.0,7.6,0.4,3,Overcast
177,2025-04-25,12.8,24.1,144,12.2,0.5,10.0,-2.5,3,Overcast
177,2025-04-26,21.9,47.9,176,8.6,2.6,6.5,-0.8,61,Rain: Slight intensity
179,2025-04-20,20.7,38.2,278,7.2,-6.7,2.7,-11.6,75,Snow fall: Heavy intensity
