id,time,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,weathercode,weather_description
245,2025-04-23,27.2,29.2,232,17.0,4.2,12.1,-0.2,51,Drizzle: Light intensity
245,2025-04-24,20.9,24.5,268,16.6,4.8,12.2,-0.8,51,Drizzle: Light intensity
245,2025-04-25,15.9,31.0,123,16.3,1.8,11.4,-0.9,3,Overcast
245,2025-04-26,34.3,49.7,196,16.0,2.6,9.9,-0.9,3,Overcast
250,2025-04-20,16.7,38.9,264,11.6,0.0,7.5,-3.5,3,Overcast
250,2025-04-21,26.4,51.8,294,9.7,-2.2,3.8,-6.1,75,Snow fall: Heavy intensity
250,2025-04-22,26.8,54.4,287,6.3,-2.8,4.3,-8.2,2,Partly cloudy
250,2025-04-23,8.5,8.3,98,6.0,-1.1,2.8,-4.2,85,Snow showers: Slight
250,2025-04-24,10.0,10.4,103,6.0,-1.9,2.5,-5.1,85,Snow showers: Slight
250,2025-04-25,14.8,22.3,109,9.6,-2.2,5.7,-5.9,3,Overcast
250,2025-04-26,18.0,29.9,140,14.9,2.1,11.9,-1.0,51,Drizzle: Light intensity
251,2025-04-20,23.8,36.7,315,0.7,-8.1,-2.9,-15.0,45,Fog and depositing rime fog
251,2025-04-21,21.7,33.8,257,1.6,-4.3,-1.7,-11.3,1,Mainly clear
251,2025-04-22,25.1,32.0,246,6.8,-3.1,1.7,-9.4,3,Overcast
251,2025-04-23,24.7,30.6,223,7.2,-2.6,2.3,-7.4,3,Overcast
251,2025-04-24,23.8,26.6,216,7.7,-2.5,2.9,-7.2,3,Overcast
251,2025-04-25,27.4,30.6,199,6.7,-1.8,1.3,-6.1,3,Overcast
251,2025-04-26,43.1,51.8,213,4.8,-4.7,-2.3,-10.1,3,Overcast
254,2025-04-20,37.6,76.7,280,15.7,-0.2,12.3,-7.2,3,Overcast
254,2025-04-21,18.1,40.0,141,13.3,-0.1,9.3,-4.4,53,Drizzle: Moderate intensity
254,2025-04-22,21.8,43.6,217,9.6,4.4,7.1,0.8,63,Rain: Moderate intensity
254,2025-04-23,13.4,37.1,288,8.5,2.3,5.7,-0.9,85,Snow showers: Slight
254,2025-04-24,10.3,21.2,334,14.6,1.1,13.7,-1.3,3,Overcast
254,2025-04-25,15.5,43.2,130,16.6,2.4,14.9,-0.5,3,Overcast
254,2025-04-26,22.3,55.1,204,11.1,5.9,8.1,1.9,51,Drizzle: Light intensity
259,2025-04-20,47.2,86.8,280,16.6,2.3,14.5,-4.7,63,Rain: Moderate intensity
259,2025-04-21,18.4,43.6,259,14.3,-0.0,11.0,-4.3,53,Drizzle: Moderate intensity
259,2025-04-22,27.6,48.2,217,12.7,3.6,7.9,0.1,61,Rain: Slight intensity
259,2025-04-23,22.3,42.5,295,12.4,-0.2,10.4,-3.8,3,Overcast
259,2025-04-24,14.2,18.7,299,16.2,2.3,14.6,-0.1,3,Overcast
259,2025-04-25,19.3,40.3,126,14.8,4.8,12.8,2.6,51,Drizzle: Light intensity
259,2025-04-26,25.8,54.4,227,12.9,5.4,9.5,2.0,55,Drizzle: Dense intensity
261,2025-04-20,14.0,27.4,268,9.7,0.8,6.9,-2.6,3,Overcast
261,2025-04-21,24.9,41.8,308,6.5,0.1,2.5,-4.1,73,Snow fall: Moderate intensity
261,2025-04-22,26.5,41.0,312,10.6,-0.3,8.1,-4.6,51,Drizzle: Light intensity
261,2025-04-23,12.5,20.2,235,12.7,-1.0,10.2,-4.1,3,Overcast
261,2025-04-24,13.9,16.9,97,14.6,0.8,12.2,-2.5,3,Overcast
261,2025-04-25,13.3,22.0,82,15.2,3.6,13.0,0.0,3,Overcast
261,2025-04-26,10.2,16.6,160,12.7,1.2,10.6,-1.9,71,Snow fall: Slight intensity
263,2025-04-20,14.8,24.1,321,10.8,0.9,10.0,-4.0,3,Overcast
263,2025-04-21,16.8,18.4,322,11.1,1.7,8.8,-2.8,3,Overcast
263,2025-04-22,21.1,25.9,256,11.3,2.7,8.0,-1.4,3,Overcast
263,2025-04-23,19.4,25.2,205,11.3,-0.6,8.4,-4.6,3,Overcast
263,2025-04-24,18.4,21.2,196,9.0,-0.5,5.3,-4.1,3,Overcast
263,2025-04-25,24.2,31.7,210,7.1,-2.3,3.0,-5.4,3,Overcast
263,2025-04-26,23.2,46.8,221,3.9,-5.7,-1.8,-10.7,85,Snow showers: Slight
265,2025-04-20,15.8,28.4,293,3.8,-4.6,0.9,-9.6,3,Overcast
265,2025-04-21,23.4,49.3,249,5.2,-2.7,1.1,-8.5,3,Overcast
265,2025-04-22,16.9,33.8,252,8.9,0.2,5.6,-3.7,2,Partly cloudy
265,2025-04-23,16.3,34.2,255,8.0,1.4,3.9,-2.0,55,Drizzle: Dense intensity
265,2025-04-24,12.7,24.8,293,9.9,0.4,7.3,-3.4,3,Overcast
265,2025-04-25,12.8,31.7,110,9.4,2.5,5.9,-1.8,51,Drizzle: Light intensity
265,2025-04-26,41.8,45.0,193,8.1,0.8,3.8,-5.2,85,Snow showers: Slight
271,2025-04-20,17.6,28.4,323,7.8,0.0,3.4,-4.1,45,Fog and depositing rime fog
271,2025-04-21,17.6,32.0,322,4.7,-1.5,0.6,-5.9,71,Snow fall: Slight intensity
271,2025-04-22,16.3,27.4,315,6.7,-0.1,3.9,-4.1,3,Overcast
271,2025-04-23,13.6,13.3,285,14.7,-2.5,13.8,-5.3,1,Mainly clear
271,2025-04-24,13.5,24.5,107,14.3,2.2,11.5,-2.1,3,Overcast
271,2025-04-25,12.4,18.0,287,14.1,3.3,11.0,1.0,53,Drizzle: Moderate intensity
271,2025-04-26,11.3,22.0,273,4.9,-0.7,1.7,-4.0,85,Snow showers: Slight
272,2025-04-20,15.6,23.4,251,8.5,-2.0,7.2,-7.2,3,Overcast
272,2025-04-21,15.3,24.1,63,8.6,-4.4,7.1,-10.2,2,Partly cloudy
272,2025-04-22,22.7,32.0,230,11.5,-2.1,7.6,-7.9,3,Overcast
272,2025-04-23,20.8,31.0,213,11.7,0.1,8.8,-3.6,3,Overcast
272,2025-04-24,18.1,22.0,208,9.7,-0.3,5.7,-4.2,3,Overcast
272,2025-04-25,25.3,36.0,225,7.1,-2.3,2.8,-5.6,3,Overcast
272,2025-04-26,24.2,56.9,231,3.4,-6.7,-2.5,-11.9,73,Snow fall: Moderate intensity
273,2025-04-20,19.9,33.1,313,4.6,-0.5,1.7,-4.2,3,Overcast
273,2025-04-21,24.5,42.1,310,2.9,-5.3,-1.7,-10.0,75,Snow fall: Heavy intensity
273,2025-04-22,16.3,32.8,326,3.8,-6.6,0.7,-11.0,85,Snow showers: Slight
273,2025-04-23,16.0,10.4,359,0.4,-3.3,-3.0,-7.5,85,Snow showers: Slight
273,2025-04-24,13.7,8.3,329,0.9,-6.9,-2.7,-11.7,85,Snow showers: Slight
273,2025-04-25,16.9,9.0,178,8.4,-3.1,4.6,-8.1,51,Drizzle: Light intensity
273,2025-04-26,16.6,14.4,209,11.8,2.4,9.9,-2.3,51,Drizzle: Light intensity
274,2025-04-20,19.7,28.4,254,5.7,-2.5,2.1,-6.6,3,Overcast
274,2025-04-21,23.1,46.1,255,6.6,-0.3,2.4,-4.9,3,Overcast
274,2025-04-22,17.8,32.8,252,9.8,-0.4,6.3,-4.9,2,Partly cloudy
274,2025-04-23,14.5,34.2,253,9.0,1.9,5.3,-1.8,53,Drizzle: Moderate intensity
274,2025-04-24,12.1,24.8,305,10.7,0.7,8.9,-2.9,3,Overcast
274,2025-04-25,10.6,31.7,130,10.3,2.3,6.8,-0.8,51,Drizzle: Light intensity
274,2025-04-26,39.5,45.0,208,9.1,1.2,5.1,-2.8,73,Snow fall: Moderate intensity
278,2025-04-20,10.5,21.6,107,7.6,1.1,4.8,-1.9,3,Overcast
278,2025-04-21,10.7,22.0,101,6.5,2.7,2.9,-0.5,61,Rain: Slight intensity
278,2025-04-22,11.0,22.7,104,5.4,2.8,2.2,-0.2,61,Rain: Slight intensity
278,2025-04-23,9.5,20.2,105,9.4,2.7,7.4,-0.0,61,Rain: Slight intensity
278,2025-04-24,10.6,22.0,95,9.8,4.2,7.4,1.6,61,Rain: Slight intensity
278,2025-04-25,9.3,21.6,100,8.5,1.8,5.6,-0.5,3,Overcast
278,2025-04-26,10.9,23.4,104,8.4,2.7,5.4,-0.1,3,Overcast
292,2025-04-20,42.6,90.4,278,14.0,0.6,12.7,-6.5,61,Rain: Slight intensity
292,2025-04-21,18.7,40.3,254,10.6,-1.4,7.0,-7.0,3,Overcast
292,2025-04-22,28.3,56.2,225,10.0,2.0,5.5,-4.8,63,Rain: Moderate intensity
292,2025-04-23,26.6,55.4,285,9.7,-3.5,7.3,-7.4,3,Overcast
292,2025-04-24,12.1,20.2,267,13.2,1.3,12.1,-1.3,3,Overcast
292,2025-04-25,17.9,42.5,131,12.0,4.0,9.2,1.1,3,Overcast
292,2025-04-26,27.4,55.8,224,7.6,3.3,5.6,-2.7,61,Rain: Slight intensity
295,2025-04-20,22.4,64.8,293,16.7,2.8,16.0,-2.7,3,Overcast
295,2025-04-21,15.9,39.2,162,12.8,0.4,9.3,-3.3,63,Rain: Moderate intensity
295,2025-04-22,25.0,50.4,230,9.2,5.5,5.8,1.3,63,Rain: Moderate intensity
295,2025-04-23,16.5,46.1,303,15.3,1.3,13.2,-2.2,3,Overcast
295,2025-04-24,12.2,18.0,319,20.0,2.5,18.6,0.4,3,Overcast
295,2025-04-25,20.3,45.7,149,17.6,6.4,15.4,4.0,51,Drizzle: Light intensity
295,2025-04-26,21.8,53.6,241,12.6,7.4,10.7,2.6,55,Drizzle: Dense intensity
302,2025-04-20,32.0,67.0,281,16.8,1.7,15.1,-5.1,55,Drizzle: Dense intensity
302,2025-04-21,18.7,50.4,237,14.3,0.1,12.7,-3.6,3,Overcast
302,2025-04-22,19.3,53.3,130,12.1,5.2,7.8,0.9,63,Rain: Moderate intensity
302,2025-04-23,13.3,32.0,277,8.8,2.7,6.0,-0.3,51,Drizzle: Light intensity
302,2025-04-24,12.8,22.7,309,15.6,0.8,13.0,-1.8,3,Overcast
302,2025-04-25,12.7,15.8,116,15.7,2.5,14.2,-0.0,3,Overcast
302,2025-04-26,16.6,30.6,124,11.3,5.1,8.2,2.2,53,Drizzle: Moderate intensity
314,2025-04-20,39.8,65.5,299,6.9,-7.5,2.8,-16.2,71,Snow fall: Slight intensity
314,2025-04-21,24.7,40.0,255,11.9,1.9,7.2,-4.3,3,Overcast
314,2025-04-22,29.2,35.6,234,16.0,4.9,11.0,-1.5,3,Overcast
314,2025-04-23,29.6,50.8,241,15.2,3.6,10.5,-1.7,0,Clear sky
314,2025-04-24,26.7,43.6,257,15.4,2.9,11.4,-2.2,0,Clear sky
314,2025-04-25,20.4,29.5,121,13.5,-0.5,7.4,-4.8,3,Overcast
314,2025-04-26,31.3,40.7,180,14.7,1.3,10.3,-2.0,3,Overcast
316,2025-04-20,30.4,64.8,295,15.6,0.4,12.5,-5.7,45,Fog and depositing rime fog
316,2025-04-21,44.3,65.9,163,8.8,0.0,2.7,-4.8,3,Overcast
316,2025-04-22,42.7,73.4,223,12.3,4.0,8.6,-4.6,55,Drizzle: Dense intensity
316,2025-04-23,11.2,51.1,297,12.8,-2.6,10.8,-6.2,3,Overcast
316,2025-04-24,7.6,18.0,281,17.9,4.4,17.3,1.9,51,Drizzle: Light intensity
316,2025-04-25,19.1,43.6,162,13.6,6.7,11.2,4.9,3,Overcast
316,2025-04-26,21.1,56.5,254,9.8,4.8,8.9,0.1,55,Drizzle: Dense intensity
320,2025-04-20,30.4,69.1,286,3.3,-6.3,-2.1,-14.1,3,Overcast
320,2025-04-21,36.1,63.0,260,10.7,-2.0,4.5,-9.2,3,Overcast
320,2025-04-22,24.5,45.0,262,9.6,0.6,5.6,-4.3,85,Snow showers: Slight
320,2025-04-23,23.8,43.2,257,10.5,-2.4,6.1,-6.5,51,Drizzle: Light intensity
320,2025-04-24,16.9,39.6,269,9.2,-2.0,6.5,-6.1,86,Snow showers: Heavy
320,2025-04-25,10.9,9.4,107,2.7,-1.1,-0.5,-4.3,85,Snow showers: Slight
320,2025-04-26,11.2,28.4,231,9.2,-4.1,7.9,-8.6,73,Snow fall: Moderate intensity
321,2025-04-20,18.4,31.3,273,8.6,-2.1,7.0,-6.0,45,Fog and depositing rime fog
321,2025-04-21,18.7,32.4,276,8.6,-1.9,8.2,-5.9,0,Clear sky
321,2025-04-22,18.9,30.6,265,12.5,-0.7,9.6,-4.1,3,Overcast
321,2025-04-23,19.2,30.2,219,13.6,-0.7,11.4,-4.3,3,Overcast
321,2025-04-24,18.4,24.8,224,11.0,0.4,8.0,-2.2,53,Drizzle: Moderate intensity
321,2025-04-25,23.9,39.6,219,8.0,-2.7,3.8,-6.0,3,Overcast
321,2025-04-26,23.9,49.3,225,4.2,-6.2,-1.8,-11.0,73,Snow fall: Moderate intensity
394,2025-04-20,35.4,82.1,270,16.1,0.7,11.7,-7.0,3,Overcast
394,2025-04-21,13.0,40.3,356,14.8,-0.1,12.2,-3.8,61,Rain: Slight intensity
394,2025-04-22,32.7,64.4,236,10.2,5.1,7.7,-0.3,63,Rain: Moderate intensity
394,2025-04-23,14.9,39.2,281,13.1,3.0,11.5,-0.7,3,Overcast
394,2025-04-24,11.3,16.2,62,16.9,2.2,16.5,-0.3,3,Overcast
394,2025-04-25,19.7,44.6,138,18.5,3.6,16.6,1.7,51,Drizzle: Light intensity
394,2025-04-26,22.0,44.6,219,11.2,7.1,10.5,2.5,53,Drizzle: Moderate intensity
407,2025-04-20,15.0,32.8,297,8.4,2.1,4.9,-1.1,51,Drizzle: Light intensity
407,2025-04-21,14.5,39.2,299,5.2,-0.3,1.8,-4.0,75,Snow fall: Heavy intensity
407,2025-04-22,12.5,24.5,325,6.7,0.5,4.3,-3.1,3,Overcast
407,2025-04-23,12.0,6.1,318,12.0,-1.1,10.5,-3.8,3,Overcast
407,2025-04-24,22.0,20.5,104,15.7,1.7,11.6,-2.0,3,Overcast
407,2025-04-25,18.5,19.4,132,15.3,4.8,10.5,2.8,51,Drizzle: Light intensity
407,2025-04-26,8.7,11.2,291,6.5,1.3,4.4,-1.7,85,Snow showers: Slight
425,2025-04-20,12.7,22.0,302,9.6,-0.4,7.7,-4.1,3,Overcast
425,2025-04-21,12.8,26.3,311,9.5,-0.0,6.0,-3.6,2,Partly cloudy
425,2025-04-22,12.2,20.5,323,10.0,-0.4,7.4,-4.8,3,Overcast
425,2025-04-23,10.1,24.5,349,11.7,-2.1,9.1,-5.4,3,Overcast
425,2025-04-24,11.0,13.0,79,16.8,-1.0,15.5,-4.7,3,Overcast
425,2025-04-25,13.8,22.0,137,15.9,3.7,13.2,0.3,3,Overcast
425,2025-04-26,9.6,19.1,166,12.8,2.3,10.7,-0.2,85,Snow showers: Slight
429,2025-04-20,20.2,38.5,10,7.5,-2.8,3.6,-8.1,45,Fog and depositing rime fog
429,2025-04-21,22.6,56.2,324,2.5,-7.5,-1.3,-12.8,71,Snow fall: Slight intensity
429,2025-04-22,13.3,17.3,29,7.9,-5.2,6.0,-10.7,45,Fog and depositing rime fog
429,2025-04-23,8.8,13.3,278,11.6,-4.7,10.3,-8.7,3,Overcast
429,2025-04-24,12.8,24.5,92,10.7,-0.6,7.6,-4.7,3,Overcast
429,2025-04-25,14.1,18.0,269,10.3,0.5,6.8,-3.0,51,Drizzle: Light intensity
429,2025-04-26,15.9,22.0,264,3.1,-4.1,-0.1,-8.1,85,Snow showers: Slight
435,2025-04-20,37.0,70.6,287,14.7,-1.7,11.9,-8.5,51,Drizzle: Light intensity
435,2025-04-21,30.7,47.2,12,12.4,-0.3,7.9,-7.4,61,Rain: Slight intensity
435,2025-04-22,30.0,52.9,180,7.6,4.0,4.0,-0.6,63,Rain: Moderate intensity
435,2025-04-23,16.6,37.1,291,8.4,1.1,6.1,-2.3,85,Snow showers: Slight
435,2025-04-24,10.8,21.2,321,13.8,0.0,12.3,-2.5,3,Overcast
435,2025-04-25,17.0,43.2,127,15.0,1.3,12.3,-1.7,3,Overcast
435,2025-04-26,22.9,55.1,209,10.1,4.8,7.0,0.4,51,Drizzle: Light intensity
448,2025-04-20,25.3,52.2,311,20.5,6.6,19.9,0.9,3,Overcast
448,2025-04-21,32.0,60.5,132,15.5,3.8,11.5,-1.2,3,Overcast
448,2025-04-22,29.2,65.2,242,18.8,11.3,15.9,5.4,51,Drizzle: Light intensity
448,2025-04-23,15.5,37.1,334,17.9,3.9,16.5,0.7,3,Overcast
448,2025-04-24,11.8,22.3,197,21.2,8.6,20.1,6.9,3,Overcast
448,2025-04-25,22.9,55.4,158,14.7,8.3,13.6,6.2,51,Drizzle: Light intensity
448,2025-04-26,25.0,61.9,267,15.1,10.9,14.7,7.3,51,Drizzle: Light intensity
457,2025-04-20,29.6,52.9,299,5.7,-5.5,-0.0,-11.4,75,Snow fall: Heavy intensity
457,2025-04-21,23.7,42.8,281,13.2,0.9,7.7,-5.0,3,Overcast
457,2025-04-22,24.1,43.2,240,16.0,5.9,13.2,0.6,3,Overcast
457,2025-04-23,26.1,21.6,273,16.3,4.8,13.6,1.0,0,Clear sky
457,2025-04-24,22.4,31.3,273,15.9,5.5,12.2,0.1,3,Overcast
457,2025-04-25,38.8,50.4,121,15.7,3.1,10.5,-3.5,3,Overcast
457,2025-04-26,37.5,51.5,144,16.4,4.0,10.8,-2.2,3,Overcast
471,2025-04-20,32.0,46.4,284,3.8,-2.0,-2.0,-8.6,71,Snow fall: Slight intensity
471,2025-04-21,30.1,52.2,289,1.0,-5.4,-2.7,-12.4,73,Snow fall: Moderate intensity
471,2025-04-22,15.4,24.8,319,7.3,-4.6,4.9,-9.0,85,Snow showers: Slight
471,2025-04-23,5.8,7.6,290,12.0,-4.6,10.9,-8.1,85,Snow showers: Slight
471,2025-04-24,14.1,18.7,103,10.9,-1.0,8.3,-4.6,3,Overcast
471,2025-04-25,10.1,14.4,253,9.3,2.5,5.5,-0.6,45,Fog and depositing rime fog
471,2025-04-26,12.0,22.3,269,7.1,-2.9,3.1,-6.9,71,Snow fall: Slight intensity
481,2025-04-20,19.8,32.4,298,4.9,-0.0,0.4,-3.7,73,Snow fall: Moderate intensity
481,2025-04-21,18.7,38.2,291,2.4,-1.9,-1.9,-6.7,75,Snow fall: Heavy intensity
481,2025-04-22,14.7,27.0,267,4.0,-1.3,2.3,-5.1,3,Overcast
481,2025-04-23,5.4,6.8,222,7.9,-6.4,7.3,-10.0,3,Overcast
481,2025-04-24,17.3,18.7,97,12.3,-0.7,10.0,-4.6,3,Overcast
481,2025-04-25,14.8,20.2,98,11.9,2.0,7.8,-0.4,71,Snow fall: Slight intensity
481,2025-04-26,7.7,9.4,270,3.7,-0.7,1.3,-4.1,73,Snow fall: Moderate intensity
491,2025-04-20,31.4,64.8,279,14.7,-1.4,12.4,-7.2,51,Drizzle: Light intensity
491,2025-04-21,24.8,57.2,259,10.4,-0.8,6.6,-6.9,3,Overcast
491,2025-04-22,21.4,42.8,181,9.2,1.9,4.5,-2.4,61,Rain: Slight intensity
491,2025-04-23,11.8,19.1,317,7.9,-0.0,5.8,-3.6,51,Drizzle: Light intensity
491,2025-04-24,13.5,21.2,317,12.5,-0.4,10.4,-3.0,3,Overcast
491,2025-04-25,11.9,18.0,122,9.3,1.2,6.3,-1.4,3,Overcast
491,2025-04-26,12.4,27.7,127,8.9,1.6,6.0,-1.9,55,Drizzle: Dense intensity
600,2025-04-20,20.3,42.5,293,10.6,2.8,6.4,-0.9,53,Drizzle: Moderate intensity
600,2025-04-21,19.7,56.2,296,7.2,0.9,3.5,-3.8,71,Snow fall: Slight intensity
600,2025-04-22,16.3,33.5,295,8.6,1.0,6.3,-3.3,2,Partly cloudy
600,2025-04-23,12.5,15.8,298,14.1,-0.9,11.8,-4.4,3,Overcast
600,2025-04-24,20.3,26.3,103,16.2,2.0,12.6,-0.9,3,Overcast
600,2025-04-25,17.6,25.6,315,15.8,6.0,11.2,3.1,51,Drizzle: Light intensity
600,2025-04-26,12.5,25.9,279,10.2,1.9,7.1,-1.5,71,Snow fall: Slight intensity
